Instance,Contractor(s),Date Type,Date,Misconduct Type,Disposition Type,Court Type,Enforcement Agency,Contracting Party,Total Penalties
Young v. Wackenhut (Violation of FMLA),G4S PLC,Date of Complaint,4/8/2010,Labor,Judgment Against Defendant,Civil,Non-Governmental,None,0
Air Pollution Violations (Illinois),Exxon Mobil,Date of Settlement Agreement,8/18/2005,Environment,Settlement,Administrative,State/Local,None,281846
"Groundwater Contamination at the CTS of Asheville, Inc. Superfund Site",Northrop Grumman,Date of Consent Decree,11/22/2016,Environment,Settlement,Civil,EPA,None,Undisclosed/Unknown
Kashagan Oil Field Environmental Fine,"Exxon Mobil, Royal Dutch Shell PLC",Date of Fine Announcement,3/7/2014,Environment,Fine,N/A,International,None,Undisclosed/Unknown
New York State Insurance Law Violations,"Health Net, Inc.",Date of Announcement,10/13/2010,Consumer Affairs,Fine,Administrative,State/Local,None,1900000
New Hampshire MTBE Pollution Lawsuit,Royal Dutch Shell PLC,Date of Settlement Announcement,11/8/2012,Environment,Settlement,Civil,State/Local,None,Undisclosed/Unknown
South Korea and China Bribery,IBM Corporation,Date of Settlement Announcement,3/18/2011,Ethics,Settlement,Civil,SEC,None,10000000
Ground Water Pollution,Valero Energy Corp.,Date of Agreement Announcement,1/5/2006,Environment,Settlement,Administrative,State/Local,None,Undisclosed/Unknown
Medicare Hospice False Claims,UnitedHealth Group,Date of Federal Intervention Announcement,8/28/2014,Government Contract Fraud,Pending,Civil,Multiple Agencies,Health and Human Services,0
"Edison v. The GEO Group, et al. (Valley Fever Exposure at Taft C.F.)",Management & Training Corp.,Date of Complaint,12/13/2012,Human Rights,Pending,Civil,Non-Governmental,None,0
"In the Matter of Deloitte & Touche LLP, ALPS Fund Services, and Andrew C. Boynton (Violation of Auditor Independence Rules)",Deloitte LLP,Date of Order,7/1/2015,Securities,Settlement,Administrative,SEC,None,1113916
Defective Pricing,Northrop Grumman,Date of Report,11/26/1996,Defective Pricing,Settlement,Undisclosed/unknown,Defense - General,Defense - General,1500000
April 2010 Gulf of Mexico Oil Spill (Mexican Lawsuits),Halliburton,Date of Filing,9/15/2010,Environment,Pending,Civil,International,None,0
Radiation Exposure (Idaho National Engineering and Environmental Laboratory),Lockheed Martin,Date of Fine,3/5/1997,Labor,Fine,Administrative,Energy,Energy,25000
"Non-Payment of Wages (Utah, Indiana, Ohio and New Mexico)",Management & Training Corp.,Date of Press Release,12/16/2005,Labor,Restitution,Administrative,Labor,None,169105
Vavra v. KBR (False Claims on LOGCAP Contracts in the Balkans and Iraq),KBR,Date of Complaint,2/24/2010,Government Contract Fraud,Judgment Against Defendant,Civil,Multiple Agencies,Defense - Army,98240
U.S.v. Hightower (FOB Fenty Fuel Theft Scheme),Fluor Corporation,Date of Guilty Plea,8/3/2012,Ethics,Pleaded Guilty,Criminal,Justice,Defense - Army,0
"Mackey, et al. v. Fluor (False Claims, Whistleblower Retaliation)",Fluor Corporation,Date of Complaint,7/3/2015,Government Contract Fraud,Pending,Civil,Non-Governmental,Defense - Army,0
November 2015 Worker Fatality at Memphis International Airport,FedEx Corporation,Date of Citation,4/18/2016,Labor,Fine,Administrative,State/Local,None,4000
Engineering Employees Age Discrimination,Boeing Company,Date of Charges,7/23/2014,Labor,Pending,Administrative,EEOC,None,0
Time Card Fraud at Integrated Defense Systems Facility,Boeing Company,Date of Report,12/10/2012,Government Contract Fraud,Settlement,Administrative,Defense - General,Defense - General,400066
Improper Federal Contract Billings Through Misclassified Costs,Sierra Nevada Corporation,Date of Settlement Announcement,2/15/2017,Government Contract Fraud,Settlement,Civil,Multiple Agencies,Multiple Agencies,14888779
"Red Lion, PA Facility RCRA Violations",General Dynamics,Date of Settlement Announcement,8/4/2010,Environment,Settlement,Civil,EPA,None,38500
Torrance Refinery Nuisance Lawsuit,Exxon Mobil,Date of Complaint,2/17/2017,Environment,Pending,Civil,Non-Governmental,None,0
Air Force Proposed Debarment,"Iron Bow Holdings, Inc.",Date of Proposed Debarment,10/24/2011,Poor Contract Performance,Suspend/Debar - Company,Administrative,Defense - Air Force,Defense - Air Force,0
Petersen v. Boeing (Saudi Pilot Training Program Lawsuit),Boeing Company,Date of Complaint,5/7/2009,Labor,Settlement,Civil,Non-Governmental,None,100000
Destruction of Evidence Relating to Deepwater Horizon Incident,Halliburton,Date of Plea,7/25/2013,Ethics,Pleaded Guilty,Criminal,Justice,None,55200125
Roby v. McKesson (Wrongful Termination),McKesson,Date of Appellate Opinion,11/30/2009,Labor,Judgment Against Defendant,Civil,Non-Governmental,None,3810000
Fisher v.  Johns Hopkins Home Care Group (Disability Discrimination),"Johns Hopkins Health System Corporation, Johns Hopkins University",Date of Settlement Announcement,6/19/2012,Labor,Settlement,Civil,EEOC,None,Undisclosed/Unknown
"Forsyth, et al. v. Hewlett-Packard (Age Discrimination)","Hewlett Packard Enterprise Company, Hewlett-Packard Company",Date of Complaint,8/18/2016,Labor,Pending,Civil,Non-Governmental,None,0
Violation of Pennsylvania Nonprofit Law,Highmark Inc.,Date of Consol. Amd. Complaint,1/5/2012,Ethics,Pending,Civil,Non-Governmental,None,0
Northeastern University v. BAE Systems (Breach of Contract),BAE Systems,Date of Complaint,10/4/2013,Poor Contract Performance,Settlement,Civil,Non-Governmental,Non-Governmental,Undisclosed/Unknown
FEMA Formaldehyde Products Liability Litigation,"Bechtel Corporation, CH2M Hill Companies, Ltd., Fluor Corporation, Shaw Group",Date of Settlement,5/29/2012,Health,Settlement,Civil,Non-Governmental,Homeland Security,Undisclosed/Unknown
Rose v. Halliburton Energy Services (Sexual Harassment),Halliburton,Date of Filing,9/21/2009,Labor,Pending,Civil,Non-Governmental,None,0
Deficient Oversight of Hanford Waste Treatment Plant Suppliers,Bechtel Corporation,Date of Consent Order,9/20/2010,Poor Contract Performance,Fine,Administrative,Energy,Energy,170000
"April 2010 Gulf of Mexico Oil Spill - Federal, State, and Local Civil Settlement",BP P.L.C.,Date of Federal Complaint,12/15/2010,Environment,Settlement,Civil,Multiple Agencies,None,18700000000
Norman et al. v. Dell (Wage and Hour Class Action),"Dell, Inc.",Date of Filing,2/8/2007,Labor,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Average Wholesale Price (AWP) Drug Litigation,GlaxoSmithKline,Date of Filing,9/6/2002,Antitrust,Settlement,Civil,Non-Governmental,None,70000000
Improper Firing of a Contractor Employee,Honeywell International Inc.,Date of Order,3/11/2015,Labor,Settlement,Administrative,NRC,None,0
U.S. ex rel. Martin v. L-3 Communications (CONUS Replacement Center Overcharging),L-3 Communications,Date of Settlement Announcement,9/28/2015,Government Contract Fraud,Settlement,Civil,Justice,Defense - Air Force,4816401
Goodwin v. Raytheon (Retaliation),Raytheon Company,Date of Complaint,10/17/2012,Labor,Pending,Civil,Non-Governmental,None,0
Failure to Post Radiation Notices,Fluor Corporation,Date of Consent Order,8/18/2003,Labor,Settlement,Administrative,Energy,Energy,40000
Leon v. FedEx Ground Package System (Wrongful Death),FedEx Corporation,Date of Verdict,2/26/2016,Consumer Affairs,Judgment Against Defendant,Civil,Non-Governmental,None,5475000
McKesson/HBOC Inc. ERISA Litigation,McKesson,Date of Settlement,5/6/2005,Labor,Settlement,Civil,Non-Governmental,International,18200000
Intelligence Contract Labor Mischarging,MITRE Corporation,Date of ICIG Report,11/26/2013,Government Contract Fraud,Investigative Finding,N/A,ICIG,ODNI,32429
C-130 Fuel Overbilling,Lockheed Martin,Date of Settlement Announcement,3/27/2015,Government Contract Fraud,Settlement,Civil,Defense - Air Force,Defense - Air Force,2000000
Unauthorized Exports and Reexports,Halliburton,Date of Penalty Order,7/25/1995,Import/Export,Fine,Civil,Commerce,None,2610000
August 2011 North Sea Oil Spill,Royal Dutch Shell PLC,Date of Fine,11/24/2015,Environment,Fine,Civil,International,None,33979
"Jenks v. New Hampshire Motor Speedway, et al. (Defective Golf Carts)","Textron, Inc.",Date of Settlement,7/18/2012,Consumer Affairs,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Crangle v. Stanford University (Retaliation),Stanford University,Date of Settlement Announcement,5/21/2001,Labor,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Release of Nerve Agent at the Johnson Atoll Chemical Agent Disposal Facility,Washington Group International,Date of Settlement,5/26/2004,Environment,Settlement,Administrative,EPA,Defense - Army,51699
"Baez v. Thompson, et al. (Medicare Overbilling)",Humana,Date of Complaint,10/11/2012,Government Contract Fraud,Pending,Civil,Non-Governmental,Health and Human Services,0
Global Bribery and Corruption - Individual Prosecutions,Rolls-Royce PLC,Date of Charging Announcement,11/7/2017,Ethics,Pleaded Guilty,Criminal,Justice,None,0
Allen v. Honeywell Retirement Earnings Plan,Honeywell International Inc.,Date of Settlement,2/7/2008,Labor,Settlement,Civil,Non-Governmental,None,35000000
U.S v. Bennett (LOGCAP Freight Forwarding Kickbacks),KBR,Date of Plea,8/28/2008,Ethics,Pleaded Guilty,Criminal,Multiple Agencies,Defense - Army,6100
Whistleblower Retaliation at the Hanford Nuclear Site (Walter Tamosaitis),URS Corporation,Date of OSHA Complaint,7/30/2010,Labor,Settlement,Civil,Non-Governmental,Energy,4100000
Improper charges to the Navy (Trident Missle Program),Lockheed Martin,Date of Settlement,8/1/2002,Defective Pricing,Settlement,Civil,Defense - Navy,Defense - Navy,2122603
"Day, et al. v. Johns Hopkins Health System (Black Lung Compensation Lawsuit)",Johns Hopkins Health System Corporation,Date of Complaint,10/28/2016,Health,Pending,Civil,Non-Governmental,None,0
Nunez v. BAE Systems San Diego Ship Repair (Unpaid Wages),BAE Systems,Date of First Amended Complaint,7/15/2016,Labor,Settlement,Civil,Non-Governmental,Defense - Navy,2900000
Flight Service Station Problems,Lockheed Martin,Date of FAA Announcement,6/5/2007,Poor Contract Performance,Administrative Agreement,Administrative,Transportation,Transportation,3000000
NASSCO Clean Air Act Lawsuit,General Dynamics,Date of Filing,9/30/2010,Environment,Pending,Civil,EPA,None,0
False Claims on GSA Contract,Deloitte LLP,Date of Settlement Announcement,5/31/2016,Government Contract Fraud,Settlement,Civil,Multiple Agencies,GSA,11380000
"Haney v. Boeing, et al. (Wrongful Death)","Boeing Company, Honeywell International Inc., Lockheed Martin, United Technologies Corporation",Date of Complaint,3/12/2012,Poor Contract Performance,Settlement,Civil,Non-Governmental,Defense - Air Force,Undisclosed/Unknown
Fraud and Breach of Contract,Alliance Contractor Team,Date of Settlement Agreement,5/6/2005,Non-governmental Contract Fraud,Settlement,Civil,Non-Governmental,Non-Governmental,Undisclosed/Unknown
Black v. Savannah River Nuclear Solutions (Whistleblower Retaliation),Savannah River Nuclear Solutions,Date of Complaint,7/2/2015,Labor,Judgment Against Defendant,Administrative,Energy,Energy,371776
Pantano Wash Hazardous Waste Disposal Settlement,Lockheed Martin,Date of Settlement Announcement,11/10/2010,Environment,Settlement,Civil,State/Local,None,90750
Amador Mine Cleanup,Honeywell International Inc.,Date of Consent Decree,11/3/2006,Environment,Settlement,Civil,EPA,None,2000000
Failure to Test Navigation System Components,Northrop Grumman,Date of Settlement Announcement,6/23/2010,Government Contract Fraud,Settlement,Civil,Multiple Agencies,Multiple Agencies,12500000
"Dredging PCBs in Upper Hudson River, New York",General Electric,Date of 10-K,2/27/2007,Environment,Administrative Agreement,Administrative,EPA,None,Undisclosed/Unknown
"St. Clair County, Illinois CERCLA Site Cleanup",Exxon Mobil,Date of Consent Decree,2/17/2017,Environment,Settlement,Civil,EPA,None,Undisclosed/Unknown
Mauldin v. Halliburton (Racial and Religious Discrimination),Halliburton,Date of Complaint,7/23/2008,Labor,Pending,Civil,Non-Governmental,None,0
IBM Securities Litigation,IBM Corporation,Date of Settlement,5/30/2008,Securities,Settlement,Civil,Non-Governmental,None,20000000
"Hudson County, NJ Chromium Pollution",Honeywell International Inc.,Date of Settlement Announcement,6/20/2011,Environment,Settlement,Civil,State/Local,None,6000000
Dawson v. Fluor Intercontinental (Negligence),Fluor Corporation,Date of Verdict,7/11/2012,Health,Settlement,Civil,Non-Governmental,Defense - Army,Undisclosed/Unknown
U.S. ex rel. Craddock v. Boeing (Improper Labor Charges),Boeing Company,Date of Settlement Announcement,10/10/2014,Government Contract Fraud,Settlement,Civil,Multiple Agencies,Defense - Air Force,23000000
Stockholder Derivative Lawsuits Settlement,Electronic Data Systems,Date of Settlement,10/8/2007,Securities,Settlement,Civil,Non-Governmental,Defense - Navy,6000000
Halliburton Clyde Facility Health and Safety Violation,Halliburton,Date of Media Accounts,9/20/2016,Labor,Fine,Administrative,International,None,13018
Nilsson v. General Motors (Negligence),General Motors Corp.,Date of Settlement Announcement,6/1/2018,Consumer Affairs,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Angola Pollution Fine,ChevronTexaco Corporation,Date of Media Accounts,7/1/2002,Environment,Fine,Administrative,International,None,2000000
"U.S. ex rel. Morgan v. Express Scripts, Inc. (Medicaid Fraud)",McKesson,Date of Federal Settlement Announcement,4/26/2012,Antitrust,Settlement,Civil,Multiple Agencies,None,341000000
Contract Fraud at TVA Nuclear Plants,Shaw Group,Date of Announcement,1/22/2009,Government Contract Fraud,Settlement,Civil,TVA,TVA,6200000
France Price Collusion,FedEx Corporation,Date of Fine Announcement,12/15/2015,Antitrust,Fine,Administrative,International,None,18536874
Titan IV Rocket Billing Problems,Lockheed Martin,Date of Announcement,5/12/2008,Government Contract Fraud,Settlement,Civil,Defense - General,Defense - Air Force,10500000
Procurement Fraud,Lockheed Martin,Date of Settlement,12/20/1996,Government Contract Fraud,Settlement,Undisclosed/unknown,Defense - General,Defense - General,2252501
"Air and Water Pollution and Hazardous Waste Violations (Delaware City, DE)",Valero Energy Corp.,Date of Settlement,6/28/2007,Environment,Fine,Administrative,State/Local,None,6255000
"Leyba, et al. v. Santa Fe County Board of Commissioners, et al. (Unlawful Strip Searches)",Management & Training Corp.,Date of Settlement,7/6/2006,Human Rights,Settlement,Civil,Non-Governmental,None,8000000
Ghany v. Federal Express Canada (Whistleblower Retaliation),FedEx Corporation,Date of Filing,10/19/2007,Labor,Pending,Civil,Non-Governmental,None,0
Falsification of Testing Records (Idaho National Engineering and Environmental Laboratory),Lockheed Martin,Date of PNOV,9/21/1998,Government Contract Fraud,Fine,Administrative,Energy,Energy,55000
Pegasus Pipeline PHMSA Fine,Exxon Mobil,Date of Final Order,12/20/2011,Environment,Fine,Administrative,Transportation,None,26200
Export Violations Involving the LTN-72 and LTN-92 Inertial Navigation Systems,Northrop Grumman,Date of Order,3/25/2008,Import/Export,Fine,Administrative,State Dept.,None,15000000
Health Violations at Lake Charles Facility,Northrop Grumman,Date of Citations,1/29/2015,Labor,Fine,Administrative,Labor - OSHA,None,42000
Clean Air Act Violations (Texas City Refinery),BP P.L.C.,Date of Announcement,2/19/2009,Environment,Settlement,Civil,EPA,None,179000000
Jail Mismanagement,G4S PLC,Date of Contract Termination,8/31/1999,Poor Contract Performance,Fine,Administrative,State/Local,State/Local,625000
American Samoa Gasoline Additive Violations,BP P.L.C.,Date of Settlement Announcement,8/17/2005,Environment,Settlement,Administrative,EPA,None,114000
Mendoza v. Health Net of California (Denial of Coverage),"Health Net, Inc.",Date of Complaint,9/12/2012,Consumer Affairs,Pending,Civil,Non-Governmental,None,0
Failure to Obtain Export Licenses (Los Alamos and Lawrence Livermore Labs),University of California,Date of Agreement,6/26/2000,Import/Export,Administrative Agreement,Administrative,Commerce,Energy,0
Barnett v. Merck (Vioxx Litigation),"Merck & Co., Inc.",Date of Verdict,8/17/2006,Health,Judgment Against Defendant,Civil,Non-Governmental,None,51000000
Reduction of FY2014 Fixed Fee and Forfeiture of Previously Earned Award Term,Los Alamos National Security LLC,Date of Notice,12/18/2014,Labor,Restitution,N/A,Energy,Energy,57156815
Northumberland Safety Breach,BAE Systems,Date of Fine Announcement,9/9/2014,Labor,Pleaded Guilty,Criminal,International,None,294241
Fraser v. Wyeth (Prempro Products Liability),Wyeth,Date of Final Judgment,8/8/2013,Health,Judgment Against Defendant,Civil,Non-Governmental,None,5769832
"Paige et al. v. BAE Systems (False Claims, Bid Rigging, Retaliation)",BAE Systems,Date of Complaint,6/8/2009,Government Contract Fraud,Pending,Civil,Non-Governmental,Defense - Army,0
"Unfair Labor Practices at London, Kentucky Call Center",General Dynamics,Date of Complaint,8/20/2018,Labor,Pending,Administrative,NLRB,Health and Human Services,0
Radiological Violations (2005),Fluor Corporation,Date of Preliminary Notice of Violation,8/25/2005,Environment,Fine,Administrative,Energy,Energy,33000
Kostolich et al v. L-3 Communications (Breach of Contract),L-3 Communications,Date of Complaint,1/20/2011,Intellectual Property,Pending,Civil,Non-Governmental,None,0
Dobrich v. General Dynamics (Hostile Workplace),General Dynamics,Date of Judgment,9/19/2000,Labor,Judgment Against Defendant,Civil,Non-Governmental,None,300000
Record Keeping Deficiencies and Emissions Exceedances,Valero Energy Corp.,Date of Settlement,12/20/1999,Environment,Fine,Administrative,State/Local,None,174455
Hills et al. v. AT&T (Pregnancy Discrimination),AT&T Inc.,Date of Second Amended Complaint,5/14/2018,Labor,Pending,Civil,Non-Governmental,None,0
Anderson v. UPS (Disability Discrimination),"United Parcel Service, Inc.",Date of MCAD Decision,3/16/2010,Labor,Judgment Against Defendant,Administrative,State/Local,None,872490
Cila v. Bechtel (Big Dig Wrongful Death),Bechtel Corporation,Date of Filing,9/11/2006,Poor Contract Performance,Settlement,Civil,Non-Governmental,Multiple Agencies,Undisclosed/Unknown
United States v. United Technologies (Preparing False Purchase Orders and Submitting False Invoices),United Technologies Corporation,Date of Settlement,5/20/1997,Government Contract Fraud,Settlement,Civil,Defense - General,Defense - General,14800000
Questa Mine Superfund Site Cleanup,ChevronTexaco Corporation,Date of Consent Decree,8/9/2016,Environment,Settlement,Civil,Multiple Agencies,None,5269950
NY State False Claims Act Lawsuit (Vioxx),"Merck & Co., Inc.",Date of Filing,9/17/2007,Health,Pending,Civil,State/Local,None,0
Policy Rescission Program Investigation,"Health Net, Inc.",Date of Consent Agreement,11/16/2007,Health,Fine,Administrative,State/Local,None,1000000
Theft of Night Vision Scopes,Raytheon Company,Date of Plea,6/1/2009,Ethics,Pleaded Guilty,Criminal,Justice,Defense - Army,0
Low Pressure Separator Explosion and Fire,ChevronTexaco Corporation,Date of Penalty,8/2/2004,Labor,Fine,Administrative,Interior,None,50000
"Washington, DC Underground Storage Tank Violations",BP P.L.C.,Date of Settlement Announcement,10/15/2007,Environment,Settlement,Civil,EPA,None,6350
Employment Discrimination,Management & Training Corp.,Date of Verdict,6/20/2001,Labor,Judgment Against Defendant,Civil,Non-Governmental,Labor,472015
False Claims Involving the E-Rate Program in Texas,Hewlett-Packard Company,Date of Settlement Announcement,11/10/2010,Ethics,Settlement,Civil,FCC,None,16250000
"Isley, et al. v. Lockheed Martin (Mischarging, Retaliation)",Lockheed Martin,Date of First Amended Complaint,8/31/2012,Government Contract Fraud,Settlement,Civil,Non-Governmental,Defense - General,Undisclosed/Unknown
Automotive Products Price Fixing,Honeywell International Inc.,Date of Complaint,3/31/2008,Antitrust,Settlement,Civil,Non-Governmental,None,2112500
NuvaRing Product Liability Litigation,"Merck & Co., Inc.",Date of Complaint,4/22/2008,Health,Settlement,Civil,Non-Governmental,None,100000000
"NRC Violations at Babcock & Wilcox Facility in Lynchburg, VA","McDermott, Inc.",Date of Notice of Violation,1/11/2010,Labor,Fine,Administrative,NRC,None,35000
U.S. v. Dodd et al. (Hanford Time Card Fraud),"CH2M Hill Companies, Ltd.",Date of Indictment,3/20/2013,Government Contract Fraud,Settlement,Criminal,Justice,Energy,157246
US v. Pagano (Accepting Bribes),URS Corporation,Date of Sentencing,4/30/2004,Ethics,Pleaded Guilty,Criminal,Multiple Agencies,GSA,62000
Randolph et al. v. Centene Management Company (Unpaid Overtime),Centene Corporation,Date of Settlement,6/22/2016,Labor,Settlement,Civil,Non-Governmental,None,4500000
Civil Rights Conspiracy and Obstruction at a NM Corrections Facility,G4S PLC,Date of Conviction Announcement,4/12/2002,Human Rights,Found Guilty,Criminal,Justice,State/Local,0
Illegally Exporting Secret Military Data Overseas (Army Compliance Agreement),ITT Industries,Date of Agreement,10/11/2007,Import/Export,Administrative Agreement,Administrative,Defense - Army,International,0
Medicare Advantage and Prescription Drug Plan Violations,Humana,Date of CMS Enforcement Letter,12/29/2015,Consumer Affairs,Fine,N/A,Health and Human Services,None,3100900
Violations of Air Quality Regulations (Louisiana),Exxon Mobil,Date of Penalty Notice,5/24/2005,Environment,Settlement,Administrative,State/Local,None,4000
Verizon Wireless Data Charges (FCC Investigation),"Verizon Communications, Inc.",Date of Settlement Announcement,10/28/2010,Consumer Affairs,Settlement,Administrative,FCC,None,25000000
Savannah River Site False Claims,"Fluor Corporation, Savannah River Nuclear Solutions",Date of Complaint,3/14/2016,Government Contract Fraud,Pending,Civil,Justice,Energy,0
Medco Drug Switching Settlement,"Merck & Co., Inc.",Date of Settlement,4/26/2004,Consumer Affairs,Settlement,Civil,Multiple Agencies,None,29300000
United States ex rel. Priem v. SAIC (Federal Anti-Terrorism Grants False Claims),SAIC,Date of Settlement Announcement,6/13/2013,Government Grant Fraud,Settlement,Civil,Justice,Multiple Agencies,11950000
Providing Inaccurate Information to Arizona Medicare Customers,"Health Net, Inc.",Date of CMS Penalty Notice,7/13/2015,Consumer Affairs,Fine,N/A,Health and Human Services,None,349075
EEOC v. AT&T (Age Discrimination),AT&T Inc.,Date of Complaint,8/20/2009,Labor,Pending,Civil,EEOC,None,0
Moses Lake Wellfield Superfund Site Cleanup,Boeing Company,Date of Consent Decree,12/20/2010,Environment,Settlement,Civil,Multiple Agencies,Defense - Air Force,2000000
Jepsen v. CCA (Wrongful Termination),Corrections Corporation of America,Date of Amended Complaint,4/7/2014,Labor,Settlement,Civil,Non-Governmental,State/Local,Undisclosed/Unknown
Missile Casing Facility Pollution Litigation,Halliburton,Date of Complaint,10/31/2011,Environment,Settlement,Civil,Non-Governmental,Defense - General,Undisclosed/Unknown
Breach of Duties to UK Pension Fund Participants,IBM Corporation,Date of Judgment,4/4/2014,Labor,Judgment Against Defendant,Civil,International,None,0
U.S. v. Cupo (Insider Trading),Sanofi-Aventis,Date of Sentencing,4/16/2014,Securities,Pleaded Guilty,Criminal,Justice,None,700
New Jersey Natural Resource Damage,Exxon Mobil,Date of Opinion,8/29/2008,Environment,Judgment Against Defendant,Civil,State/Local,None,0
Oerman v. Wackenhut Services (Racial Discrimination/Retaliation),G4S PLC,Date of Filing,7/26/2010,Labor,Pending,Civil,Non-Governmental,Energy,0
Unlawfully Obtained Proprietary Information,"Verizon Communications, Inc.",Date of Settlement,6/14/2007,Intellectual Property,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Policy Rescission (California Hospital Association Lawsuit),"Health Net, Inc.",Date of Settlement,5/22/2009,Health,Settlement,Civil,Non-Governmental,None,1950000
Delays in Providing Explosion Prevention Guidance,Boeing Company,Date of Penalty Announcement,7/13/2012,Other,Settlement,Administrative,Transportation,None,0
April 2010 Gulf of Mexico Oil Spill - Gulf of Mexico Early Restoration,BP P.L.C.,Date of Settlement Announcement,4/21/2011,Environment,Settlement,N/A,Multiple Agencies,None,1000000000
Invalid Certificate of Insurance,Northrop Grumman,Date of Suspension,12/30/2003,Other,Administrative Agreement,Administrative,International,International,0
Inflated Drug Prices (Massachusetts Lawsuit),"Merck & Co., Inc.",Date of Settlement Announcement,12/20/2011,Antitrust,Settlement,Civil,State/Local,None,24000000
Audit of Quality Assurance at Hanford Waste Treatment and Immobilization Plant,Bechtel Corporation,Date of Report,9/30/2013,Poor Contract Performance,Investigative Finding,N/A,Energy,Energy,0
Elite Precision Fabricators v. General Dynamics Land Systems (Breach of Contract),General Dynamics,Date of Complaint,7/21/2014,Non-governmental Contract Fraud,Pending,Civil,Non-Governmental,Non-Governmental,0
New York City Cigarette Tax Settlement,FedEx Corporation,Date of Settlement Announcement,3/15/2013,Tax,Settlement,Civil,State/Local,None,2400000
Alboyacian v. BP (Breach of Gas Station Lease Agreements),BP P.L.C.,Date of Filing,10/7/2009,Non-governmental Contract Fraud,Pending,Civil,Non-Governmental,Non-Governmental,0
Medicine Shoppe Pharmacy Kickbacks,"Cardinal Health, Inc.",Date of Settlement Announcement,4/21/2011,Ethics,Settlement,Civil,Health and Human Services,None,8000000
Propecia Multi-District Litigation,"Merck & Co., Inc.",Date of Complaint,2/2/2011,Health,Pending,Civil,Non-Governmental,None,0
Kohut v. KBR (Shareholder Lawsuit),KBR,Date of Settlement Announcement,4/7/2017,Securities,Settlement,Civil,Non-Governmental,None,10500000
New Jersey MTBE Lawsuit,Valero Energy Corp.,Date of Settlement Announcement,1/6/2014,Environment,Settlement,Civil,State/Local,None,17500000
Overcharging the National Imagery and Mapping Agency,Lockheed Martin,Date of Announcement,4/22/2002,Cost/Labor Mischarge,Settlement,Civil,Multiple Agencies,Defense - General,530000
